0,5,0,drone
1,0,1,.3,.3,.3
1,0,0,.3,.3,.3
1,0,-1,.3,.3,.3
0,0,1,.3,.3,.3
0,0,0,.3,.3,.3
0,0,-1,.3,.3,.3
-1,0,1,.3,.3,.3
-1,0,0,.3,.3,.3
-1,0,-1,.3,.3,.3
0,1,0,.3,.3,.3
2,0,2,.8,.7,.6
2,0,1,.8,.7,.6
2,0,0,.8,.7,.6
2,0,-1,.8,.7,.6
2,0,-2,.8,.7,.6
1,0,2,.8,.7,.6
1,0,-2,.8,.7,.6
0,0,2,.8,.7,.6
0,0,-2,.8,.7,.6
-1,0,2,.8,.7,.6
-1,0,-2,.8,.7,.6
-2,0,2,.8,.7,.6
-2,0,1,.8,.7,.6
-2,0,0,.8,.7,.6
-2,0,-1,.8,.7,.6
-2,0,-2,.8,.7,.6
0,2,0,.8,.7,.6
1,1,1,1,.9,.8
1,1,0,1,.9,.8
1,1,-1,1,.9,.8
0,1,1,1,.9,.8
0,1,-1,1,.9,.8
-1,1,1,1,.9,.8
-1,1,0,1,.9,.8
-1,1,-1,1,.9,.8
